survey_id,issue_question_id,original_question_id,policy_domain,policy_domain_label,issue_label,question_wording,question_wording_original,question_coding,question_recoded,fallback_variable,fallback_recoded,rule_kind,recode_type
bridge_clean.csv,bri_econ_012,addt_econ_02,econ,Economy and Taxation,Free trade w US good for econ,"Overall, free trade with the U.S. has been good for the Canadian economy.","Overall, free trade with the U.S. has been good for the Canadian economy.","""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""9999"" = ""Don't know""",1:2=1; 3:4=0; 9999=9999  [0/1],,,value_map,0/1/9999
cora-efc1986-E-1986-4_F1.dta,env_econ_027,q35a,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""1"" = ""strongly agree"", ""2"" = ""somewhat agree"", ""3"" = ""somewhat disagree"", ""4"" = ""strongly disagree"", ""9"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 9=9999  [0/1],,,value_map,0/1/9999
cora-efc1990-E-1990-4_F1.dta,env_econ_027,q14,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,"Do you strongly agree, somewhat agree, somewhat disagree or strongly disagree that the government should reduce the gap between the rich and the poor?","""1"" = ""strongly agree"", ""2"" = ""somewhat agree"", ""3"" = ""somewhat disagree"", ""4"" = ""strongly disagree"", ""5"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 5=9999  [0/1],,,value_map,0/1/9999
cora-efc1991-E-1991-4_F1.dta,env_econ_027,q69a,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""5"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 5=9999  [0/1],,,value_map,0/1/9999
cora-efc1994-E-1994-4_F1.dta,env_econ_027,q9a,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""5"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 5=9999  [0/1],,,value_map,0/1/9999
cora-efc1998-E-1998-4_F1.dta,env_econ_027,q7,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""5"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 5=9999  [0/1],,,value_map,0/1/9999
cora-efc2006-E-2006-3_F1.dta,env_econ_027,q11,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,Do you strongly/somewhat agree/disagree that the government should reduce the gap between the rich and the poor?,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""9"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 9=9999  [0/1],,,value_map,0/1/9999
cora-efc2008-E-2008-3_F1.dta,env_econ_027,q10,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,"Do you strongly agree, somewhat agree, somewhat disagree or strongly disagree that the government should reduce the gap between the rich and the poor?","""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""99"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 99=9999  [0/1],,,value_map,0/1/9999
cora-efc2010-E-2010_F1.dta,env_econ_027,q12,econ,Economy and Taxation,Govt should reduce rich-poor gap,The government should reduce the gap between the rich and the poor.,"Do you strongly agree, somewhat agree, somewhat disagree or strongly disagree that the government should reduce the gap between the rich and the poor?","""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""99"" = ""DK/NA""",1=1; 2=1; 3=0; 4=0; 99=9999  [0/1],,,value_map,0/1/9999
2000.dta,bri_econ_013,cpsc13,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""much more"", ""2"" = ""somewhat more"", ""3"" = ""about the same as now"", ""4"" = ""somewhat less"", ""5"" = ""much less"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=9999; 9=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
